1486623583;;;;;;;;;;;;;;;;;;;
09.02.2017, 07:59:43;;;;;;;;;;;;;;;;;;;
nagÅ‚Ã³wek1;nagÅ‚Ã³wek2;nagÅ‚Ã³wek3;producent;nr kat.;EAN;nazwa;OEM;Twoja cena;Opis;Gwarancja;PHE;Magazyn;nowoÅ›Ä‡;EU;Opakowanie;producent;url obrazek;Magazyn;Magazyn_limit
Noœniki danych;Dyskietki;w kartonie;VE;DIVE1BILXXX1;23942874102;"Dyskietka Verbatim DataLife 3,5""/ 1.44 MB/ DS, HD - format. IBM, czarna, paper box, 87410, 10-pack";87410;30;Dyskietki s¹ wstêpnie sformatowane, co u³atwia korzystanie, a warstwa ochronna DataLifePlus tworzy nieprzywieraj¹c¹ powierzchniê, aby zapobiec uszkodzeniom powierzchni dyskietki.<br /><br />Pojemnoœæ 1,44 MB<br />Format IBM<br /><br />Numer produktu: 87410<br />Opakowanie: 10 Pack Box;24;0;1;1;40,2;1;Verbatim;http://www.lamaplus.com.pl/all/obr/DIVE1BILXXX1.jpg;1;99+
Noœniki danych;Taœmy danych;4mm;HP;DG004HPCP0;88698639993;Data cartridge HP czyszcz¹cy - DDS, 4mm, C5709A, dla DDS 1, DDS 2, DDS 3, DDS 4;C5709A;64,33;"* C5709A wykorzystuje 4-milimetrow¹ taœmê typu DAT. <br />* Urz¹dzenie ma rozmiar 0.59 /"" i wa¿y 20 g. <br />* Mierzy 15 x 80 x 57.9 mm, a karton, który s³u¿y za   opakowanie ma wymiary: 330 x 170 x 200 mm. <br />* Produkt marki HP charakteryzuje siê ca³kowit¹ pojemnoœci¹ przechowywania równ¹ 320 GB oraz prêdkoœci¹ odczytu z noœnika wynosz¹c¹ 12 MB/s. Dane na noœniku mog¹ byæ bezpiecznie przechowywane przez 30 lat.";24;0;1;0;77,42;1;Hewlett-Packard;http://www.lamaplus.com.pl/all/obr/DG004HPCP0.jpg;1;1
Noœniki danych;Taœmy danych;4mm;HP;DP008HP2G0;88698639979;Taœma danych HP D4, 120m, 4/GB 8 GB, C5707A, DDS2, do archiwizacji danych;C5707A;34,99;"*Praca    <br />Pojemnoœæ bez kompresji  4GB    <br />Typ taœmy DAT      <br />*Design    <br />Kolor produktu  Black      <br />*Waga i rozmiary    <br />Rozmiar taœmy   4 mm    <br />D³ugoœæ taœmy   120 m    <br />Gruboœæ taœmy   6.5 µm    <br />Waga produktu   60  g    <br />*Pozosta³e w³aœciwoœci          <br />Wymiary produktu (SxGxW)   15 x 80 x 58.9 mm   <br />Trwa³oœæ archiwalnej pamiêci masowej  30 rok/lata    <br />Szerokoœæ taœmy   4 mm    <br />Rozmiar   0.59/""    <br />Ca³kowita pojemnoœæ przechowywania  8 GB";24;0;0;0;49,12;1;Hewlett-Packard;http://www.lamaplus.com.pl/all/obr/DP008HP2G0.jpg;0;-
Noœniki danych;Taœmy danych;4mm;HP;DP036HP4G0;8,08737E+11;Taœma danych HP D4, 170m, 36/GB 72 GB, C8010A, DDS5, do archiwizacji danych;C8010A;60,73;Taœmy HP DAT 72 zapewniaj¹ ³atw¹ i bezstresow¹ archiwizacjê danych z prêdkoœci¹ prawie 11 GB danych na godzinê i mo¿liwoœci¹ zapisu do 36 GB na jednym noœniku (pojemnoœæ o 80% wiêksza od DDS-4). <br />Unikalne testowanie noœników i proces kwalifikacji firmy HP zapewniaj¹ najwy¿sz¹ niezawodnoœæ archiwizacji i odtwarzania danych. <br />Niebieska oprawa taœmy umo¿liwia ³atw¹ identyfikacjê w archiwach mieszcz¹cych ró¿ne noœniki, równie¿ starsze wersje noœników DDS.;24;0;0;0;85,28;1;Hewlett-Packard;http://www.lamaplus.com.pl/all/obr/DP036HP4G0.jpg;0;-
Noœniki danych;Taœmy danych;4mm;HP;DP040HP4G0;88698852958;Taœma danych HP D4, 150m, 40/GB 80 GB, C5718A, DDS4, do archiwizacji danych;C5718A;35,66;"*Praca    <br />Pojemnoœæ bez kompresji  20GB    <br />Typ taœmy  DAT      <br />*Design    <br />Kolor produktu Black      <br />*Waga i rozmiary    <br />Rozmiar taœmy   4 mm    <br />D³ugoœæ taœmy   150 m    <br />Gruboœæ taœmy   5.6 µm    <br />Waga produktu   60 g    <br />*Pozosta³e w³aœciwoœci         <br />Wymiary produktu (SxGxW)  0.59 x 0.08 x2.32 mm        <br />Trwa³oœæ archiwalnej pamiêci masowej   30 rok/lata    <br />Szerokoœæ taœmy  4 mm    <br />Folia Metal Particle      <br />Rozmiar  0.23 /""    <br />Ca³kowita pojemnoœæ przechowywania  40 GB";24;0;1;0;50,07;1;Hewlett-Packard;http://www.lamaplus.com.pl/all/obr/DP040HP4G0.jpg;1;1
Noœniki danych;Taœmy danych;4mm;HP;DG160HPCP0;8,8278E+11;Data cartridge HP czyszcz¹cy - DDS, C8015A, dla DDS/DAT II;C8015A;134,3;*Szczegó³y Techniczne    <br />*Kompatybilna  DAT 160      <br />*Funkcje regulowane non-recycled     <br />*Trwa³oœæ archiwalnej pamiêci masowej 30 rok/lata    <br />*Iloœæ szt. w opakowaniu zbiorczym  10 szt.    <br />*Waga kartonu zbiorczego 0.49 kg    <br />*Wymiary produktu (SxGxW)  80 x 58.9 x 19.1 mm    <br />*Rodzaj folii DAT         <br />*Waga produktu   50g    <br />*Folia Metal Particle      <br />*Kolor produktu - Orange      <br />*Prêdkoœæ odczytu z noœnika  12 MB/s    <br />*Technologia nagrywania  DDS/DAT      <br />*Szerokoœæ taœmy  8 mm    <br />*Ca³kowita pojemnoœæ przechowywania 320GB;24;0;0;0;161,54;1;Hewlett-Packard;http://www.lamaplus.com.pl/all/obr/DG160HPCP0.jpg;0;-
Noœniki danych;Taœmy danych;Travan;HP;DG014HPNG0;88698714324;Data cartridge HP Colorado, 7/GB 14 GB, C4436A, do archiwizacji danych;C4436A;190,2;Pojedyncza sformatowana taœma HP Colorado 14 GB + monitor noœnika HP. <br />Taœmy HP Travan™ zosta³y zaprojektowane, przetestowane i opatrzone certyfikatem potwierdzaj¹cym ich optymaln¹ wspó³pracê i pe³n¹ zgodnoœæ z napêdami HP Travan™ oraz innymi napêdami QIC/Travan™. <br />HP jest liderem na rynku dostawców pamiêci masowych Travan™. <br />Unikatowy monitor noœnika HP (Media Monitor) informuje u¿ytkownika, kiedy dok³adnie nale¿y wymieniæ taœmê HP Colorado 14 GB. <br />Pojemnoœæ z kompresj¹ 14 GB. <br />Taœmy wstêpnie formatowane. <br />5-letnia gwarancja.;24;0;0;0;228,86;1;Hewlett-Packard;http://www.lamaplus.com.pl/all/obr/DG014HPNG0.jpg;0;-
Noœniki danych;MO dyski;"5.25""";HP;DO052HPNG0;88698524824;"HP MOD 5,25"", 5.2 88146J, 2048 Bytes/Sector, do archiwizacji danych";88146J;258,8;* Dysk magneto-optyczny HP 5.2GB Write-once MO Disk 2048 bps (88146J);24;0;0;0;311,38;1;Hewlett-Packard;http://www.lamaplus.com.pl/all/obr/DO052HPNG0.jpg;0;-
Noœniki danych;MO dyski;"5.25""";HP;DO052HPWG0;88698524831;"HP MOD-RW 5,25"", 5.2 88147J, 2048 Bytes/Sector, do archiwizacji danych";88147J;213,3;"Specyfikacja 88147J<br />*Wymiary produktu (S x G x W) 153 x 137 x 120 mm<br />*Waga produktu 0.198 kg <br />*Materia³y Poliwêglan<br />*Rozmiar 1.19 x 13.7 x 15.2 cm (0.47 x 5.4 x 6 //"")<br />*Ca³kowita pojemnoœæ przechowywania 5.2 GB<br />*Szerokoœæ taœmy 1.2 mm<br />*Trwa³oœæ archiwalnej pamiêci masowej 100 years<br />*Szerokoœæ taœmy (miary imperialne) 0.127 cm (0.05 //"")<br />*HP jest liderem na rynku bibliotek optycznych.<br />Dyski magnetooptyczne (MO) to bardzo niszowe produkty. S¹ bardzo dobrym rozwi¹zaniem dla przedsiêbiorstw i bran¿, które musz¹ spe³niæ pañstwowe przepisy w zakresie archiwizacji, przetwarzaj¹ du¿e iloœci dokumentów i musz¹ szybko uzyskiwaæ dostêp do przechowywanych/zarchiwizowanych danych.  <br />Parametry dysków jedno- i wielokrotnego zapisu HP wykraczaj¹ poza standardy ISO, IEC i ANSI. Przeprowadzane przez HP testy kontroli jakoœci obejmuj¹ 40 000 cykli ³adowania/wyjmowania dla ka¿dego dysku. Pozwalaj¹ one zminimalizowaæ ryzyko wyst¹pienia defektu os³ony i wynikaj¹cych z tego nieodwracalnych b³êdów odczytu, zapewniaj¹c pe³en dostêp do plików.";24;0;0;0;256,67;1;Hewlett-Packard;http://www.lamaplus.com.pl/all/obr/DO052HPWG0.jpg;0;-
Noœniki danych;MO dyski;"5.25""";HP;DO091HPWGH;7,25184E+11;"HP MOD-RW 5,25"", 9.1 C7987A, 1024 Bytes/Sector, do archiwizacji danych";C7987A;352,1;"Noœniki optyczne HP - dysk  5,25 cala kompatybilne z szerok¹ gam¹ dysków optycznych. <br />Wyprodukowane z poliwêglanu o du¿ej wytrzyma³oœci i odpornoœci na wstrz¹sy. <br />Producent: HP<br />Modelu / numeru czêœci: C7987A<br />Rodzaj: Przechowywanie noœników - dysków magneto-optycznych<br />Multimedia Form Factor: 5.25 //""<br />Pojemnoœæ: 9,1 GB<br />Format zapisu: 1024 bajtów / sektor";24;0;0;0;395,61;1;Hewlett-Packard;http://www.lamaplus.com.pl/all/obr/DO091HPWGH.jpg;0;-
